modelo;imagem;confidence;x;y;largura;altura;tempo_ms
smartfirewatch_modelo_1/1;1.jpg;0.350946843624115;715;625.5;152;285;6338
smartfirewatch_modelo_1/1;10.jpg;0.2686280608177185;637.5;685;37;72;513
smartfirewatch_modelo_1/1;12.jpg;0.6472915410995483;696;695.5;126;133;722
smartfirewatch_modelo_1/1;13.jpg;0.7658799290657043;686;657;152;218;664
smartfirewatch_modelo_1/1;14.jpg;0.7719652056694031;694.5;671;125;186;508
smartfirewatch_modelo_1/1;15.jpg;0.5452993512153625;679.5;680.5;141;179;572
smartfirewatch_modelo_1/1;16.jpg;0.350946843624115;715;625.5;152;285;2365
smartfirewatch_modelo_1/1;17.jpg;0.5314067006111145;559;741.5;128;175;563
smartfirewatch_modelo_1/1;18.jpg;0.6017257571220398;548;792.5;126;205;593
smartfirewatch_modelo_1/1;19.jpg;0.741611123085022;541.5;806;159;186;557
smartfirewatch_modelo_1/1;2.jpg;0.7719652056694031;694.5;671;125;186;1645
smartfirewatch_modelo_1/1;20.jpg;0.8011720776557922;540;610;266;332;579
smartfirewatch_modelo_1/1;21.jpg;0.8180201649665833;539;591.5;282;421;787
smartfirewatch_modelo_1/1;22.jpg;0.5306270122528076;617;799;78;98;507
smartfirewatch_modelo_1/1;23.jpg;0.5249388813972473;544.5;886;93;154;4426
smartfirewatch_modelo_1/1;24.jpg;0.511679470539093;534;875;56;136;611
smartfirewatch_modelo_1/1;25.jpg;0.5204741954803467;662.5;881;55;132;918
smartfirewatch_modelo_1/1;25.jpg;0.0966762900352478;1049.5;481.5;57;953;918
smartfirewatch_modelo_1/1;26.jpg;0.6044544577598572;620.5;722;101;146;551
smartfirewatch_modelo_1/1;27.jpg;0.6682175397872925;614.5;720;145;140;584
smartfirewatch_modelo_1/1;28.jpg;0.7613720297813416;625.5;728.5;151;145;536
smartfirewatch_modelo_1/1;29.jpg;0.7475878596305847;620.5;726.5;103;97;522
smartfirewatch_modelo_1/1;3.jpg;0.6472915410995483;696;695.5;126;133;1423
smartfirewatch_modelo_1/1;30.jpg;0.7611531019210815;613;737;96;98;551
smartfirewatch_modelo_1/1;31.jpg;0.7599561214447021;613;739.5;94;83;478
